"METRIC_KEY","METRIC_ID","METRIC_DATE","LOCATION_ID","NUMERATOR","DENOMINATOR","FISCAL_DATE","LAST_CHANGE_DT","LAST_CHANGE_ACTION"
"5900001","293","2021-03-21","32900001","46.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","40800001","51.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39200001","117.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25300001","565.0000","27.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23400001","323.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37000001","369.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35100001","585.0000","20.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21200001","522.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19300001","483.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38900001","43.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28800001","417.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42400001","460.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28800002","203.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33200001","437.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38600001","70.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19000001","26.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46500001","579.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46800001","958.0000","27.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","41100001","1792.0000","44.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28500001","328.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44600001","224.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42700001","164.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36700001","468.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44300001","295.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30400001","481.0000","10.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
